"track_artist","track_popularity","playlist_genre","playlist_subgenre","release_date","duration_min","danceability","energy","loudness","speechiness","acousticness","liveness","tempo"
"Sean Paul",56,"pop","dance pop",2019-10-25,2.40121666666667,0.789,0.893,-4.364,0.168,0.0538,0.221,121.956
"Charli XCX",57,"pop","dance pop",2019-08-09,3.23101666666667,0.64,0.838,-4.203,0.0416,0.0588,0.0424,124.081
"Estelle",56,"pop","dance pop",2019-06-14,3.34375,0.609,0.764,-4.564,0.111,0.0994,0.197,128.082
"Bastille",53,"pop","dance pop",2019-09-27,2.77061666666667,0.64,0.992,-3.318,0.0585,0.0832,0.109,123.951
"for KING & COUNTRY",56,"pop","dance pop",2019-01-25,2.85833333333333,0.75,0.81,-4.607,0.0572,0.0917,0.111,120.038
"Steve Aoki",34,"pop","dance pop",2019-11-12,4.44531666666667,0.535,0.956,-2.996,0.0343,0.000609,0.262,127.984
"Lil Nas X",74,"pop","dance pop",2019-04-29,3.40045,0.766,0.771,-9.108,0.0576,0.00407,0.113,140.036
"Starley",46,"pop","dance pop",2019-11-15,3.39946666666667,0.649,0.821,-4.952,0.0472,0.017,0.0655,125.977
"Calvin Harris",63,"pop","dance pop",2018-10-19,3.17361666666667,0.588,0.697,-4.744,0.0372,0.186,0.103,125.157
"R3HAB",55,"pop","dance pop",2019-12-12,3.96143333333333,0.355,0.789,-4.358,0.165,0.0148,0.0355,80.444
"Why Don't We",52,"pop","dance pop",2019-11-01,3.00601666666667,0.542,0.84,-5.283,0.0419,0.0336,0.277,118.02
"Olympis",67,"pop","dance pop",2019-11-01,2.31746666666667,0.735,0.5,-11.297,0.0511,0.415,0.13,126.1
"DJ Snake",63,"pop","dance pop",2019-08-09,4.66333333333333,0.752,0.84,-4.451,0.0373,0.00486,0.0916,124.002
"Smash Mouth",60,"pop","dance pop",2019-08-23,3.61738333333333,0.748,0.903,-5.877,0.0385,0.0324,0.106,115.018
"SHAED",45,"pop","dance pop",2019-12-27,3.84126666666667,0.607,0.955,-3.613,0.102,0.0163,0.0725,125.984
"David Guetta",58,"pop","dance pop",2019-07-11,3.144,0.607,0.995,-2.325,0.0487,0.0921,0.0445,124.998
"Kaskade",51,"pop","dance pop",2019-09-12,3.27688333333333,0.679,0.786,-6.918,0.132,0.119,0.224,126.092
"GASHI",58,"pop","dance pop",2019-11-15,3.5,0.714,0.801,-5.8,0.0301,0.0204,0.334,124.015
"Bazzi vs.",56,"pop","dance pop",2018-09-28,3.13115,0.69,0.862,-4.154,0.0944,0.0611,0.238,121.975
"Khalid",60,"pop","dance pop",2019-03-27,4.55381666666667,0.775,0.867,-7.388,0.204,0.0158,0.0355,128.956
"Herve Pagez",48,"pop","dance pop",2019-10-11,4.26435,0.814,0.838,-5.547,0.0763,0.001,0.0185,121.978
"Mark Ronson",56,"pop","dance pop",2019-10-04,3.6119,0.784,0.779,-5.48,0.0387,0.0357,0.0245,124.994
"James Arthur",56,"pop","dance pop",2019-09-13,3.21088333333333,0.367,0.783,-4.504,0.154,0.00515,0.0545,88.013
"Arlissa",65,"pop","dance pop",2018-02-09,3.97418333333333,0.609,0.83,-3.759,0.0793,0.201,0.0321,117.833
"The Chainsmokers",39,"pop","dance pop",2019-05-31,3.62755,0.591,0.702,-5.59,0.0289,0.225,0.414,104.003
"Sam Feldt",83,"pop","dance pop",2019-05-24,2.9074,0.59,0.642,-3.87,0.122,0.0771,0.105,107.356
"Marshmello",83,"pop","dance pop",2019-03-08,2.60578333333333,0.791,0.565,-3.933,0.0439,0.0623,0.156,99.961
"5 Seconds of Summer",71,"pop","dance pop",2019-07-12,2.76278333333333,0.564,0.747,-3.374,0.0584,0.0728,0.151,97.878
"Ellie Goulding",81,"pop","dance pop",2019-04-12,3.3512,0.669,0.801,-5.445,0.136,0.268,0.0594,109.919
"Katy Perry",85,"pop","dance pop",2019-05-31,3.72538333333333,0.77,0.882,-4.792,0.0602,0.194,0.316,99.991
"Gryffin",76,"pop","dance pop",2019-03-27,3.97431666666667,0.513,0.788,-4.629,0.0364,0.00968,0.11,139.987
"NOTD",71,"pop","dance pop",2019-05-03,3.19353333333333,0.72,0.864,-3.249,0.208,0.0856,0.16,96.048
"Ed Sheeran",65,"pop","dance pop",2019-10-04,2.89091666666667,0.789,0.858,-4.388,0.0404,0.22,0.335,110.012
"The Chainsmokers",67,"pop","dance pop",2019-07-24,3.49821666666667,0.294,0.505,-8.106,0.042,0.12,0.0977,85.332
"Zara Larsson",74,"pop","dance pop",2019-06-21,3.80186666666667,0.665,0.799,-2.868,0.0617,0.18,0.125,101.976
"Jonas Blue",81,"pop","dance pop",2019-03-22,3.67326666666667,0.46,0.8,-3.584,0.05,0.289,0.121,102.46
"Kaskade",71,"pop","dance pop",2019-06-14,3.014,0.362,0.921,-3.815,0.486,0.123,0.19,172.191
"Gryffin",75,"pop","dance pop",2019-10-18,3.57723333333333,0.686,0.83,-4.437,0.0369,0.0948,0.182,123.032
"Kygo",73,"pop","dance pop",2019-05-23,3.51573333333333,0.618,0.66,-8.14,0.0372,0.0292,0.325,105
"Zara Larsson",79,"pop","dance pop",2018-10-18,3.1822,0.665,0.699,-5.265,0.0578,0.423,0.0969,124.896
"NOTD",74,"pop","dance pop",2018-03-16,3.29898333333333,0.661,0.725,-4.859,0.0563,0.0253,0.123,119.927
"3LAU",63,"pop","dance pop",2019-03-01,3.21568333333333,0.571,0.752,-4.872,0.0293,0.0196,0.114,102.043
"Kygo",79,"pop","dance pop",2019-04-19,3.5886,0.591,0.705,-6.519,0.079,0.381,0.131,121.799
"Jonas Blue",16,"pop","dance pop",2018-11-09,3.22295,0.652,0.898,-4.481,0.0361,0.29,0.073,114.043
"Shawn Mendes",75,"pop","dance pop",2018-09-27,3.35421666666667,0.706,0.855,-5.377,0.215,0.0911,0.347,107.184
"ILLENIUM",75,"pop","dance pop",2019-08-16,3.67883333333333,0.404,0.806,-4.75,0.0496,0.198,0.114,148.036
"Loud Luxury",55,"pop","dance pop",2019-07-12,3.08436666666667,0.876,0.856,-3.884,0.0486,0.0812,0.457,121.991
"Avicii",30,"pop","dance pop",2019-04-10,2.62003333333333,0.802,0.645,-6.181,0.0715,0.272,0.119,100.001
"Jax Jones",62,"pop","dance pop",2019-07-12,2.66255,0.906,0.832,-3.004,0.0718,0.0909,0.152,104.03
"Zedd",84,"pop","dance pop",2018-01-23,3.07886666666667,0.753,0.657,-3.061,0.0449,0.171,0.112,107.01
"NOTD",70,"pop","dance pop",2019-09-27,2.6833,0.693,0.674,-4.449,0.0723,0.185,0.0639,95.972
"Steve Aoki",37,"pop","dance pop",2019-07-12,3.76821666666667,0.672,0.815,-6.476,0.0981,0.00246,0.577,115.033
"Gryffin",70,"pop","dance pop",2019-10-24,3.42978333333333,0.581,0.76,-3.962,0.0406,0.16,0.183,104.099
"ILLENIUM",74,"pop","dance pop",2019-05-13,3.61113333333333,0.643,0.594,-5.453,0.0318,0.0128,0.118,144.033
"Mabel",85,"pop","dance pop",2019-01-18,2.97466666666667,0.674,0.881,-2.853,0.147,0.296,0.0793,98.994
"A R I Z O N A",36,"pop","dance pop",2019-06-18,3.04446666666667,0.691,0.538,-9.952,0.103,0.246,0.178,99.972
"Steve Aoki",52,"pop","dance pop",2019-09-06,3.73435,0.661,0.758,-5.299,0.0864,0.0797,0.106,114.098
"Starley",58,"pop","dance pop",2019-10-11,2.97501666666667,0.653,0.69,-5.003,0.0756,0.109,0.136,110.214
"Alesso",72,"pop","dance pop",2019-06-14,2.56706666666667,0.734,0.693,-6.474,0.0361,0.0878,0.341,110.021
"ayokay",64,"pop","dance pop",2018-08-31,3.298,0.663,0.696,-5.994,0.0349,0.0563,0.226,139.98
"ARTY",63,"pop","dance pop",2019-01-25,2.83465,0.55,0.899,-3.284,0.0458,0.0113,0.137,125.85
"Maggie Lindemann",77,"pop","dance pop",2017-03-02,3.22688333333333,0.703,0.868,-4.661,0.0291,0.15,0.104,121.03
"Martin Garrix",76,"pop","dance pop",2019-02-21,3.45158333333333,0.44,0.635,-6.385,0.0326,0.129,0.121,128.133
"Gryffin",74,"pop","dance pop",2017-03-03,4.13593333333333,0.625,0.707,-4.761,0.0337,0.22,0.213,138.064
"Cashae",56,"pop","dance pop",2019-07-12,3.36786666666667,0.625,0.719,-5.541,0.0612,0.048,0.0668,101.091
"Galantis",77,"pop","dance pop",2019-10-25,3.11341666666667,0.547,0.795,-3.721,0.0489,0.145,0.11,118.118
"Kygo",71,"pop","dance pop",2019-02-14,3.47611666666667,0.673,0.596,-7.891,0.0354,0.166,0.11,123.969
"Carly Rae Jepsen",64,"pop","dance pop",2019-05-17,3.07555,0.699,0.633,-6.547,0.0362,0.0453,0.101,123.449
"Tiësto",82,"pop","dance pop",2019-05-31,3.3166,0.647,0.726,-4.389,0.0552,0.157,0.0844,114.996
"Silk City",81,"pop","dance pop",2018-09-06,3.96955,0.588,0.67,-6.439,0.0473,0.0104,0.338,118.159
"Shallou",41,"pop","dance pop",2018-01-25,3.59076666666667,0.655,0.427,-11.684,0.0799,0.295,0.0788,107.992
"benny blanco",62,"pop","dance pop",2018-12-07,3.15275,0.79,0.865,-4.159,0.0438,0.0264,0.24,122.99
"Carly Rae Jepsen",5,"pop","dance pop",2019-02-27,3.33863333333333,0.611,0.737,-5.154,0.0476,0.0145,0.107,124.169
"R3HAB",72,"pop","dance pop",2019-10-25,2.67186666666667,0.726,0.763,-6.872,0.0882,0.524,0.0943,128.02
"DVBBS",24,"pop","dance pop",2019-08-16,3.65868333333333,0.714,0.705,-6.479,0.0995,0.292,0.126,114.994
"Lost Kings",58,"pop","dance pop",2017-10-13,3.45713333333333,0.619,0.938,-5.245,0.35,0.0257,0.128,94.38
"Armin van Buuren",65,"pop","dance pop",2019-07-12,2.99218333333333,0.575,0.808,-4.578,0.0439,0.0446,0.0693,127.922
"Alesso",64,"pop","dance pop",2019-03-08,2.76666666666667,0.768,0.808,-1.818,0.112,0.00627,0.343,119.971
"Elderbrook",53,"pop","dance pop",2019-08-09,3.38666666666667,0.767,0.605,-5.737,0.188,0.559,0.193,107.042
"Martin Garrix",72,"pop","dance pop",2019-08-16,3.98445,0.466,0.612,-4.855,0.0307,0.0655,0.132,128.114
"FANNYPACK",39,"pop","dance pop",2019-04-12,2.45923333333333,0.434,0.917,-3.613,0.0633,0.301,0.289,121.967
"Joel Corry",75,"pop","dance pop",2019-04-05,3.144,0.744,0.79,-4.617,0.0562,0.0547,0.32,125.002
"Herve Pagez",60,"pop","dance pop",2019-05-30,2.61931666666667,0.837,0.818,-4.474,0.0533,0.0527,0.11,109.993
"Lindsey Stirling",18,"pop","dance pop",2019-08-02,3.80836666666667,0.514,0.856,-4.285,0.0717,0.00123,0.544,117.014
"Zedd",79,"pop","dance pop",2017-02-23,3.50151666666667,0.69,0.622,-5.025,0.0622,0.253,0.116,102.04
"Armin van Buuren",60,"pop","dance pop",2019-10-25,3.11916666666667,0.466,0.869,-4.275,0.0529,0.0142,0.115,126.113
"DJ Snake",83,"pop","dance pop",2018-09-28,3.54166666666667,0.842,0.801,-4.167,0.228,0.157,0.0642,95.881
"The Chainsmokers",85,"pop","dance pop",2016-07-29,4.08266666666667,0.748,0.524,-5.599,0.0338,0.414,0.111,95.01
"ODESZA",47,"pop","dance pop",2014-10-13,4.05151666666667,0.647,0.624,-8.446,0.0451,0.025,0.0616,115.002
"Zedd",74,"pop","dance pop",2012-01-01,4.52378333333333,0.509,0.781,-3.48,0.072,0.0398,0.0749,128
"Clean Bandit",80,"pop","dance pop",2018-05-17,3.71088333333333,0.737,0.636,-4.546,0.0437,0.0441,0.35,105.005
"Martin Garrix",81,"pop","dance pop",2017-01-27,3.68138333333333,0.584,0.54,-7.786,0.0576,0.0895,0.261,137.972
"Justin Bieber",76,"pop","dance pop",2017-08-17,3.15778333333333,0.743,0.733,-5.337,0.0375,0.00402,0.304,104.977
"The Black Eyed Peas",96,"pop","dance pop",2019-10-12,3.69523333333333,0.721,0.716,-7.037,0.0657,0.0334,0.237,104.994
"Calvin Harris",84,"pop","dance pop",2018-08-17,3.55515,0.781,0.768,-5.991,0.0394,0.0119,0.325,123.07
"Riton",86,"pop","dance pop",2019-09-13,3.47456666666667,0.737,0.828,-4.711,0.0396,0.0149,0.0862,124.052
"San Holo",68,"pop","dance pop",2017-02-10,3.99755,0.57,0.763,-4.137,0.0573,0.0857,0.0932,150.088
"David Guetta",66,"pop","dance pop",2017-06-09,3.24845,0.551,0.651,-5.828,0.0594,0.225,0.224,144.875
"The Chainsmokers",83,"pop","dance pop",2017-04-07,4.11933333333333,0.617,0.635,-6.769,0.0317,0.0498,0.164,103.019
"Calvin Harris",85,"pop","dance pop",2018-04-06,3.58078333333333,0.791,0.862,-3.24,0.11,0.037,0.0814,123.994
"Alesso",73,"pop","dance pop",2015-05-26,3.50021666666667,0.503,0.748,-4.124,0.0619,0.0305,0.343,125.896
"Kygo",69,"pop","dance pop",2017-02-17,3.67968333333333,0.64,0.533,-6.596,0.0706,0.119,0.0864,99.968
"Ne-Yo",69,"pop","dance pop",2012-01-01,4.19378333333333,0.658,0.677,-6.628,0.0393,0.248,0.368,124.91
"DJ Snake",81,"pop","dance pop",2016-08-05,3.43245,0.649,0.716,-5.371,0.0349,0.0863,0.135,99.988
"The Chainsmokers",73,"pop","dance pop",2015-06-16,3.77898333333333,0.713,0.802,-7.055,0.0561,0.0435,0.309,100.001
"Zedd",61,"pop","dance pop",NA,3.62245,0.596,0.738,-3.109,0.0411,0.109,0.0947,127.961
"Disclosure",19,"pop","dance pop",2013-01-01,4.26053333333333,0.503,0.727,-5.456,0.167,0.0159,0.0895,121.985
"David Guetta",57,"pop","dance pop",2018-09-14,3.25,0.609,0.726,-4.346,0.0414,0.0723,0.0895,93.958
"Justin Bieber",81,"pop","dance pop",2015-11-13,3.34645,0.654,0.76,-3.669,0.045,0.0797,0.299,99.945
"Calvin Harris",79,"pop","dance pop",2016-04-29,3.70266666666667,0.63,0.928,-2.787,0.0331,0.199,0.148,123.963
"Avicii",84,"pop","dance pop",2013-01-01,4.12378333333333,0.532,0.783,-5.697,0.0523,0.0038,0.161,124.08
"Dynoro",84,"pop","dance pop",2018-06-08,3.076,0.694,0.77,-5.335,0.149,0.176,0.118,125.905
"David Guetta",66,"pop","dance pop",2011-08-26,4.084,0.604,0.787,-3.674,0.103,0.0679,0.127,126.062
"Skrillex",8,"pop","dance pop",2015-11-13,4.042,0.432,0.74,-5.053,0.062,0.0342,0.14,139.42
"Katy Perry",64,"pop","dance pop",2010-01-01,3.79821666666667,0.638,0.832,-5.039,0.049,0.141,0.113,124.071
"J Balvin",61,"pop","dance pop",2017-09-28,3.49555,0.759,0.716,-6.36,0.0818,0.0223,0.231,105.009
"Swedish House Mafia",27,"pop","dance pop",2012-01-01,3.55281666666667,0.614,0.832,-3.419,0.0522,0.11,0.185,129.038
"Justin Timberlake",74,"pop","dance pop",2016-09-23,3.95911666666667,0.669,0.832,-5.72,0.0682,0.0106,0.0968,113.035
"Ellie Goulding",57,"pop","dance pop",2012-01-01,4.77203333333333,0.702,0.781,-4.081,0.03,0.433,0.135,102.997
"Lady Gaga",69,"pop","dance pop",2008-01-01,3.95333333333333,0.851,0.806,-4.618,0.0786,0.12,0.121,119.001
"Calvin Harris",77,"pop","dance pop",2015-07-17,3.544,0.738,0.868,-4.373,0.0731,0.0389,0.388,122.003
"Robin Schulz",74,"pop","dance pop",2020-01-10,3.47036666666667,0.57,0.672,-5.89,0.0723,0.177,0.0768,120.019
"Sigala",5,"pop","dance pop",2019-09-27,3.44066666666667,0.67,0.89,-3.785,0.0576,0.122,0.333,124.967
"Kaskade",57,"pop","dance pop",2019-09-12,3.858,0.708,0.727,-7.647,0.0389,0.0201,0.37,120.012
"Hot Shade",68,"pop","dance pop",2019-12-20,2.7415,0.654,0.787,-4.999,0.0502,0.00515,0.144,123.978
"Paul Kalkbrenner",65,"pop","dance pop",2019-07-26,2.80911666666667,0.945,0.584,-7.649,0.044,0.0955,0.147,124.996
"MOTi",58,"pop","dance pop",2019-01-25,2.5873,0.704,0.929,-4.447,0.0395,0.0395,0.181,126.055
"Dimitri Vegas & Like Mike",81,"pop","dance pop",2019-07-05,3.07596666666667,0.765,0.906,-2.097,0.0965,0.125,0.423,96.071
"Becky Hill",68,"pop","dance pop",2020-01-10,3.31238333333333,0.682,0.855,-3.282,0.0401,0.0566,0.101,124.004
"Molella",43,"pop","dance pop",2019-06-21,2.65323333333333,0.627,0.662,-7.104,0.0349,0.0922,0.143,124.039
"MOTi",57,"pop","dance pop",2019-12-20,2.7619,0.762,0.736,-7.66,0.0778,0.135,0.113,126.007
"The Chainsmokers",58,"pop","dance pop",2019-07-19,3.06088333333333,0.577,0.844,-3.364,0.0406,0.00407,0.499,115.066
"GATTÜSO",58,"pop","dance pop",2019-12-19,3.375,0.632,0.816,-4.584,0.0349,0.00205,0.119,127.95
"MEDUZA",91,"pop","dance pop",2019-10-11,2.80645,0.598,0.526,-8.659,0.0415,0.129,0.14,123.935
"Jonas Blue",67,"pop","dance pop",2019-07-19,3.07636666666667,0.825,0.841,-6.433,0.135,0.0906,0.258,126.026
"Matt Simons",42,"pop","dance pop",2019-09-19,4,0.63,0.731,-4.985,0.0352,0.0191,0.704,119.997
"Skrillex",70,"pop","dance pop",2019-08-29,3.31398333333333,0.795,0.899,-4.202,0.0685,0.00235,0.199,125.978
"Ed Marquis",64,"pop","dance pop",2017-04-28,4.29905,0.529,0.717,-7.049,0.24,0.123,0.0363,103.99
"NOTD",79,"pop","dance pop",2018-11-02,3.1717,0.7,0.872,-5.896,0.0666,0.121,0.103,125.03
"Brando",48,"pop","dance pop",2020-01-10,2.57756666666667,0.791,0.541,-7.14,0.054,0.123,0.121,115.987
"Glaceo",53,"pop","dance pop",2019-12-20,2.9836,0.904,0.633,-5.545,0.0958,0.203,0.163,121.995
"Tiësto",75,"pop","dance pop",2019-12-13,2.79765,0.744,0.725,-6.055,0.0303,0.018,0.212,118.034
"Kharfi",46,"pop","dance pop",2019-11-08,2.57143333333333,0.772,0.687,-6.348,0.211,0.0528,0.834,118.116
"Lost Frequencies",67,"pop","dance pop",2019-10-04,3.05305,0.706,0.524,-8.804,0.026,0.127,0.109,111.991
"Dua Lipa",65,"pop","dance pop",2019-12-18,3.60426666666667,0.664,0.699,-7.115,0.27,0.0352,0.0612,122.019
"Steve Void",56,"pop","dance pop",2019-12-20,2.63485,0.781,0.745,-4.942,0.0374,0.0814,0.106,110.051
"Jax Jones",42,"pop","dance pop",2019-08-28,3.38711666666667,0.789,0.547,-8.738,0.0748,0.072,0.0782,120.024
"Armin van Buuren",58,"pop","dance pop",2019-10-25,2.99218333333333,0.575,0.808,-4.578,0.0439,0.0446,0.0693,127.922
"David Guetta",74,"pop","dance pop",2019-05-09,3.09905,0.669,0.797,-5.68,0.0624,0.259,0.199,119.865
"PNAU",65,"pop","dance pop",2019-05-02,3.47278333333333,0.567,0.946,-2.245,0.0541,0.0978,0.0836,104.983
"Mike Perry",64,"pop","dance pop",2019-09-27,3.40985,0.653,0.757,-3.642,0.0555,0.0997,0.242,128.015
"FAULHABER",51,"pop","dance pop",2019-10-18,2.83273333333333,0.721,0.779,-4.239,0.0606,0.142,0.143,110.026
"Audien",63,"pop","dance pop",2018-11-09,2.87533333333333,0.534,0.765,-3.151,0.0338,0.0915,0.225,127.978
"Martin Garrix",83,"pop","dance pop",2019-10-31,3.94608333333333,0.651,0.693,-4.722,0.0375,0.458,0.335,118.97
"Prince Paris",55,"pop","dance pop",2019-11-29,2.55385,0.682,0.923,-3.273,0.0364,0.00395,0.242,130.052
"Georgia Ku",39,"pop","dance pop",2019-10-18,2.78748333333333,0.66,0.827,-5.081,0.0789,0.429,0.0923,115.349
"Icarus",48,"pop","dance pop",2019-10-04,4.86308333333333,0.57,0.965,-4.881,0.0348,0.00108,0.201,123.008
"Madison Mars",59,"pop","dance pop",2019-12-06,3.03333333333333,0.608,0.918,-1.137,0.0684,0.199,0.309,126.022
"Nahaze",64,"pop","dance pop",2019-12-11,4.03975,0.561,0.562,-11.431,0.15,0.062,0.118,151.631
"DJ Ross",42,"pop","dance pop",2019-11-15,2.96063333333333,0.591,0.88,-5.153,0.223,0.0804,0.326,127.013
"R3HAB",70,"pop","dance pop",2018-01-26,2.66973333333333,0.626,0.8,-3.988,0.035,0.0267,0.0623,127.966
"Phantoms",57,"pop","dance pop",2019-07-19,3.41155,0.745,0.8,-5.606,0.0361,0.0209,0.113,122.008
"Deorro",21,"pop","dance pop",2019-07-12,3.75266666666667,0.66,0.857,-5.219,0.321,0.167,0.119,130.069
"Gryffin",68,"pop","dance pop",2019-10-24,3.9723,0.53,0.729,-6.019,0.0376,0.00699,0.103,139.929
"Tiësto",63,"pop","dance pop",2019-08-08,2.18673333333333,0.552,0.887,-3.812,0.147,0.0457,0.0903,125.229
"Yves V",54,"pop","dance pop",2019-05-31,2.83333333333333,0.471,0.911,-4.372,0.0594,0.0316,0.571,126.112
"Alok",79,"pop","dance pop",2019-11-22,2.45045,0.747,0.776,-5.898,0.0722,0.0233,0.761,125.07
"Martin Solveig",72,"pop","dance pop",2019-12-06,3.40856666666667,0.712,0.664,-8.026,0.0345,0.0416,0.0668,122.014
"R3HAB",80,"pop","dance pop",2019-04-05,2.464,0.733,0.859,-5.03,0.033,0.479,0.105,124.948
"Steve Aoki",47,"pop","dance pop",2019-02-22,2.62221666666667,0.517,0.793,-5.851,0.0367,0.0214,0.0892,90.06
"Alex Gaudino",19,"pop","dance pop",2019-03-01,3.344,0.675,0.674,-6.329,0.0372,0.00339,0.279,125.037
"Felix Jaehn",79,"pop","dance pop",2019-11-22,2.6799,0.818,0.823,-3.563,0.2,0.0663,0.133,128.136
